"","X10..Cluster.variable","X10..Cluster.Process","X10..Cluster.Cont.Scenario","X10..Cluster.mean","X10..Cluster.q5","X10..Cluster.q95"
"1","Before PHS4d","No Intervention","10% Cluster",13097.7005,588,70371.3499999999
"2","Before PHS4d","No Holding","10% Cluster",13026.2758,587,69865.6499999999
"3","Before PHS4d","No Precooling","10% Cluster",17443.0068,579,78183.85
"4","Before PHS4d","No Sanitation","10% Cluster",17481.958,554.8,78000.7
"5","Before PHS4d","No Prewash","10% Cluster",17443.0068,579,78183.85
"6","Before PHS4d","No Washing","10% Cluster",17395.9064,569.95,78086.0499999999
"7","Before PHS4d","All Intervention","10% Cluster",17458.3567,576,77998.6499999998
"8","Before PHS4h","No Intervention","10% Cluster",3417.0458,0,18612.55
"9","Before PHS4h","No Holding","10% Cluster",3398.2441,0,19040.45
"10","Before PHS4h","No Precooling","10% Cluster",497.7679,0,2530.05
"11","Before PHS4h","No Sanitation","10% Cluster",496.922,0,2506.44999999999
"12","Before PHS4h","No Prewash","10% Cluster",497.7679,0,2530.05
"13","Before PHS4h","No Washing","10% Cluster",497.7033,0,2558.34999999999
"14","Before PHS4h","All Intervention","10% Cluster",501.375,0,2551
"15","Before PHS Int","No Intervention","10% Cluster",2685.9965,0,14854.8499999999
"16","Before PHS Int","No Holding","10% Cluster",2661.8546,0,14915.4999999999
"17","Before PHS Int","No Precooling","10% Cluster",404.0131,0,2051.05
"18","Before PHS Int","No Sanitation","10% Cluster",403.2486,0,2040.05
"19","Before PHS Int","No Prewash","10% Cluster",404.0131,0,2051.05
"20","Before PHS Int","No Washing","10% Cluster",403.6608,0,2082.1
"21","Before PHS Int","All Intervention","10% Cluster",406.5395,0,2073.44999999999
"22","Before HS","No Intervention","10% Cluster",2687.5907,0,14921.2
"23","Before HS","No Holding","10% Cluster",2662.0763,0,14770.2999999999
"24","Before HS","No Precooling","10% Cluster",403.7614,0,2037.05
"25","Before HS","No Sanitation","10% Cluster",403.1967,0,2029.59999999999
"26","Before HS","No Prewash","10% Cluster",403.7614,0,2037.05
"27","Before HS","No Washing","10% Cluster",403.5832,0,2073.05
"28","Before HS","All Intervention","10% Cluster",406.3325,0,2064.49999999999
"29","Before RS","No Intervention","10% Cluster",3292.2777,0,18134.7
"30","Before RS","No Holding","10% Cluster",3204.361,0,17742.45
"31","Before RS","No Precooling","10% Cluster",496.3898,0,2482.2
"32","Before RS","No Sanitation","10% Cluster",487.3185,0,2446.2
"33","Before RS","No Prewash","10% Cluster",483.5804,0,2441.2
"34","Before RS","No Washing","10% Cluster",485.2623,0,2490.05
"35","Before RS","All Intervention","10% Cluster",488.1583,0,2480
"36","Before FPS","No Intervention","10% Cluster",3292.0102,0,18083
"37","Before FPS","No Holding","10% Cluster",8.881,0,39
"38","Before FPS","No Precooling","10% Cluster",1.3358,0,7
"39","Before FPS","No Sanitation","10% Cluster",1.2254,0,6
"40","Before FPS","No Prewash","10% Cluster",23.6095,0,110
"41","Before FPS","No Washing","10% Cluster",26.2781,0,136.049999999999
"42","Before FPS","All Intervention","10% Cluster",1.358,0,7
"43","Before CS","No Intervention","10% Cluster",1583.6287,0,8440.49999999999
"44","Before CS","No Holding","10% Cluster",4.0601,0,18
"45","Before CS","No Precooling","10% Cluster",0.6433,0,3
"46","Before CS","No Sanitation","10% Cluster",0.5756,0,3
"47","Before CS","No Prewash","10% Cluster",10.4944,0,49
"48","Before CS","No Washing","10% Cluster",11.8262,0,58
"49","Before CS","All Intervention","10% Cluster",0.6362,0,4
