, variable , Process , mean , q5 , q95 
 1 , Before PHS4d , No Intervention ," 12,983 ", 585 ," 69,661 "
 2 , Before PHS4d , No Holding ," 13,024 ", 587 ," 70,032 "
 3 , Before PHS4d , No Precooling ," 17,447 ", 565 ," 77,563 "
 4 , Before PHS4d , No Sanitation ," 17,435 ", 573 ," 77,467 "
 5 , Before PHS4d , No Prewash ," 17,447 ", 565 ," 77,563 "
 6 , Before PHS4d , No Washing ," 17,447 ", 564 ," 77,756 "
 7 , Before PHS4d , All Intervention ," 17,431 ", 565 ," 77,380 "
 8 , Before PHS4h , No Intervention ," 3,336 ", -   ," 18,368 "
 9 , Before PHS4h , No Holding ," 3,360 ", -   ," 18,713 "
 10 , Before PHS4h , No Precooling , 494 , -   ," 2,494 "
 11 , Before PHS4h , No Sanitation , 496 , -   ," 2,472 "
 12 , Before PHS4h , No Prewash , 494 , -   ," 2,494 "
 13 , Before PHS4h , No Washing , 503 , -   ," 2,552 "
 14 , Before PHS4h , All Intervention , 498 , -   ," 2,488 "
 15 , Before PHS Int , No Intervention ," 2,615 ", -   ," 14,340 "
 16 , Before PHS Int , No Holding ," 2,633 ", -   ," 14,668 "
 17 , Before PHS Int , No Precooling , 401 , -   ," 2,016 "
 18 , Before PHS Int , No Sanitation , 403 , -   ," 2,009 "
 19 , Before PHS Int , No Prewash , 401 , -   ," 2,016 "
 20 , Before PHS Int , No Washing , 408 , -   ," 2,055 "
 21 , Before PHS Int , All Intervention , 404 , -   ," 1,996 "
 22 , Before HS , No Intervention ," 2,615 ", -   ," 14,380 "
 23 , Before HS , No Holding ," 2,632 ", -   ," 14,677 "
 24 , Before HS , No Precooling , 401 , -   ," 2,018 "
 25 , Before HS , No Sanitation , 403 , -   ," 2,007 "
 26 , Before HS , No Prewash , 401 , -   ," 2,018 "
 27 , Before HS , No Washing , 408 , -   ," 2,057 "
 28 , Before HS , All Intervention , 404 , -   ," 2,006 "
 29 , Before RS , No Intervention ," 3,205 ", -   ," 17,667 "
 30 , Before RS , No Holding ," 3,170 ", -   ," 17,800 "
 31 , Before RS , No Precooling , 492 , -   ," 2,475 "
 32 , Before RS , No Sanitation , 484 , -   ," 2,413 "
 33 , Before RS , No Prewash , 480 , -   ," 2,412 "
 34 , Before RS , No Washing , 491 , -   ," 2,503 "
 35 , Before RS , All Intervention , 487 , -   ," 2,412 "
 36 , Before FPS , No Intervention ," 3,204 ", -   ," 17,653 "
 37 , Before FPS , No Holding , 9 , -   , 39 
 38 , Before FPS , No Precooling , 1 , -   , 7 
 39 , Before FPS , No Sanitation , 1 , -   , 6 
 40 , Before FPS , No Prewash , 23 , -   , 114 
 41 , Before FPS , No Washing , 27 , -   , 133 
 42 , Before FPS , All Intervention , 1 , -   , 7 
 43 , Before CS , No Intervention ," 1,552 ", -   ," 7,959 "
 44 , Before CS , No Holding , 4 , -   , 18 
 45 , Before CS , No Precooling , 1 , -   , 4 
 46 , Before CS , No Sanitation , 1 , -   , 3 
 47 , Before CS , No Prewash , 11 , -   , 51 
 48 , Before CS , No Washing , 12 , -   , 57 
 49 , Before CS , All Intervention , 1 , -   , 3 
