,Final_CFU_Acc_Portion_mean,Prevalence_Acc_Mean,Prevalence_Comparison,MeanComparison,Cont_Spread,Sampling_Plan,Baseline_Scenario
0,6097.0,2.0849999999999622e-05,1.0,1.0,Random,Baseline,All Intervention
1,5344.0,1.8364999999999747e-05,0.8808153477218263,0.8764966376906675,Random,PHS4D,All Intervention
2,5519.0,1.8729999999999704e-05,0.8983213429256616,0.9051992783336067,Random,PHS4H,All Intervention
3,4325.0,1.504999999999981e-05,0.7218225419664308,0.7093652616040675,Random,PHSInt,All Intervention
4,5606.0,1.914999999999968e-05,0.9184652278177471,0.9194685911103821,Random,HTrad,All Intervention
5,5377.0,1.839499999999968e-05,0.8822541966426866,0.8819091356404789,Random,RSTrad,All Intervention
6,5888.0,2.0369999999999654e-05,0.9769784172661882,0.9657208463178613,Random,FPSTrad,All Intervention
7,6139.0,2.0709999999999644e-05,0.9932853717026388,1.0068886337543055,Random,CS,All Intervention
0,6159.0,2.118499999999965e-05,1.0,1.0,1% Cluster,Baseline,All Intervention
1,5553.0,1.8739999999999746e-05,0.8845881519943383,0.901607403799318,1% Cluster,PHS4D,All Intervention
2,5647.0,1.9444999999999703e-05,0.9178664149162155,0.9168696216918331,1% Cluster,PHS4H,All Intervention
3,4449.0,1.5519999999999763e-05,0.7325938163795148,0.7223575255723331,1% Cluster,PHSInt,All Intervention
4,5618.0,1.9039999999999692e-05,0.8987491149398162,0.9121610651079721,1% Cluster,HTrad,All Intervention
5,5722.0,1.929499999999966e-05,0.9107859334434731,0.9290469232018185,1% Cluster,RSTrad,All Intervention
6,6142.0,2.096999999999967e-05,0.9898513098890732,0.9972398116577367,1% Cluster,FPSTrad,All Intervention
7,6077.0,2.057999999999961e-05,0.9714420580599458,0.9866861503490827,1% Cluster,CS,All Intervention
0,6194.0,2.1474999999999655e-05,1.0,1.0,10% Cluster,Baseline,All Intervention
1,5154.0,1.77099999999998e-05,0.8246798603026816,0.8320955763642235,10% Cluster,PHS4D,All Intervention
2,5498.0,1.8899999999999704e-05,0.8800931315483124,0.8876331934129803,10% Cluster,PHS4H,All Intervention
3,4230.0,1.4339999999999792e-05,0.6677532013969742,0.6829189538262835,10% Cluster,PHSInt,All Intervention
4,5636.0,1.896499999999972e-05,0.8831199068684529,0.9099128188569583,10% Cluster,HTrad,All Intervention
5,5293.0,1.8234999999999706e-05,0.849126891734575,0.8545366483693897,10% Cluster,RSTrad,All Intervention
6,6172.0,2.132999999999963e-05,0.9932479627473795,0.9964481756538586,10% Cluster,FPSTrad,All Intervention
7,6362.0,2.136499999999966e-05,0.9948777648428407,1.0271230222796255,10% Cluster,CS,All Intervention
0,15844710.0,0.037502314999999835,1.0,1.0,Random,Baseline,No Intervention
1,15293498.0,0.03597639499999985,0.9593113118483487,0.9652116069022405,Random,PHS4D,No Intervention
2,7664880.0,0.019613970000000053,0.5230069130399054,0.48375009703554056,Random,PHS4H,No Intervention
3,3580854.0,0.009736895000000094,0.2596345052298808,0.22599681534089294,Random,PHSInt,No Intervention
4,8904671.0,0.022284525000000006,0.5942173169843009,0.5619964644351333,Random,HTrad,No Intervention
5,7852307.0,0.020252774999999938,0.5400406614898314,0.4955790923279757,Random,RSTrad,No Intervention
6,7749530.0,0.01981751000000003,0.5284343113218509,0.4890925741146414,Random,FPSTrad,No Intervention
7,9877981.0,0.026235914999999825,0.6995812125198122,0.6234245372745857,Random,CS,No Intervention
0,15862164.0,0.01115626500000018,1.0,1.0,1% Cluster,Baseline,No Intervention
1,15297173.0,0.010616850000000084,0.951649140639803,0.964381215576891,1% Cluster,PHS4D,No Intervention
2,10884525.0,0.009048535000000085,0.8110720747490257,0.6861942040190733,1% Cluster,PHS4H,No Intervention
3,5378035.0,0.006130160000000064,0.5494813900530299,0.33904800126893153,1% Cluster,PHSInt,No Intervention
4,11368880.0,0.009201410000000089,0.8247751375572326,0.7167294449861948,1% Cluster,HTrad,No Intervention
5,10419195.0,0.008924495000000098,0.7999536583256093,0.6568583580399244,1% Cluster,RSTrad,No Intervention
6,8533292.0,0.008306095000000093,0.7445229205294028,0.5379651855824968,1% Cluster,FPSTrad,No Intervention
7,10391260.0,0.009505875000000134,0.8520660812556873,0.6550972490260472,1% Cluster,CS,No Intervention
0,15857825.0,0.018841010000000026,1.0,1.0,10% Cluster,Baseline,No Intervention
1,15305237.0,0.017844414999999975,0.9471050118863028,0.9651536071308644,10% Cluster,PHS4D,No Intervention
2,8508971.0,0.012951395000000147,0.6874044968926893,0.5365786922229246,10% Cluster,PHS4H,No Intervention
3,3708065.0,0.0074807100000000805,0.3970440013566189,0.23383187795299798,10% Cluster,PHSInt,No Intervention
4,9157130.0,0.01337773000000018,0.7100325301032249,0.5774518258336184,10% Cluster,HTrad,No Intervention
5,8126334.0,0.012496010000000148,0.6632346142802392,0.5124494689530248,10% Cluster,RSTrad,No Intervention
6,8122345.0,0.01247977500000012,0.6623729301136246,0.5121979212155513,10% Cluster,FPSTrad,No Intervention
7,9724127.0,0.015102680000000044,0.8015854776362851,0.6132068552906845,10% Cluster,CS,No Intervention
