,Final_CFU_Acc_Portion_mean,Prevalence_Acc_Mean,Prevalence_Comparison,MeanComparison,Cont_Spread,Sampling_Plan,Baseline_Scenario
0,5939.0,2.071999999999964e-05,1.0,1.0,Random,Baseline,All Intervention
1,5344.0,1.8364999999999747e-05,0.8863416988417021,0.8998147836336083,Random,PHS4D,All Intervention
2,5519.0,1.8729999999999704e-05,0.9039575289575305,0.9292810237413706,Random,PHS4H,All Intervention
3,4325.0,1.504999999999981e-05,0.7263513513513549,0.7282370769489813,Random,PHSInt,All Intervention
4,5606.0,1.914999999999968e-05,0.9242277992277999,0.9439299545378009,Random,HTrad,All Intervention
5,5377.0,1.839499999999968e-05,0.8877895752895754,0.9053712746253578,Random,RSTrad,All Intervention
6,5888.0,2.0369999999999654e-05,0.9831081081081086,0.9914126957400236,Random,FPSTrad,All Intervention
7,6139.0,2.0709999999999644e-05,0.9995173745173748,1.0336757029802996,Random,CS,All Intervention
0,5903.0,2.0334999999999625e-05,1.0,1.0,1% Cluster,Baseline,All Intervention
1,5553.0,1.8739999999999746e-05,0.9215638062453942,0.9407081145180417,1% Cluster,PHS4D,All Intervention
2,5647.0,1.9444999999999703e-05,0.9562330956479007,0.9566322209046247,1% Cluster,PHS4H,All Intervention
3,4449.0,1.5519999999999763e-05,0.7632161298254266,0.7536845671692359,1% Cluster,PHSInt,All Intervention
4,5618.0,1.9039999999999692e-05,0.9363166953528421,0.9517194646789768,1% Cluster,HTrad,All Intervention
5,5722.0,1.929499999999966e-05,0.9488566510941733,0.969337624936473,1% Cluster,RSTrad,All Intervention
6,6142.0,2.096999999999967e-05,1.0312269486107724,1.040487887514823,1% Cluster,FPSTrad,All Intervention
7,6077.0,2.057999999999961e-05,1.0120481927710838,1.0294765373538879,1% Cluster,CS,All Intervention
0,6139.0,2.104499999999962e-05,1.0,1.0,10% Cluster,Baseline,All Intervention
1,5154.0,1.77099999999998e-05,0.8415300546448146,0.8395504153770973,10% Cluster,PHS4D,All Intervention
2,5498.0,1.8899999999999704e-05,0.8980755523877427,0.8955856002606287,10% Cluster,PHS4H,All Intervention
3,4230.0,1.4339999999999792e-05,0.6813970064148278,0.6890373024922626,10% Cluster,PHSInt,All Intervention
4,5636.0,1.896499999999972e-05,0.9011641720123575,0.9180648314057664,10% Cluster,HTrad,All Intervention
5,5293.0,1.8234999999999706e-05,0.8664765977666921,0.8621925395015475,10% Cluster,RSTrad,All Intervention
6,6172.0,2.132999999999963e-05,1.013542409123308,1.0053754683173155,10% Cluster,FPSTrad,All Intervention
7,6362.0,2.136499999999966e-05,1.0152055119981016,1.036325134386708,10% Cluster,CS,All Intervention
0,15851671.0,0.037499189999999724,1.0,1.0,Random,Baseline,No Intervention
1,15293498.0,0.03597639499999985,0.95939125618447,0.9647877501368783,Random,PHS4D,No Intervention
2,7664880.0,0.019613970000000053,0.5230504978907597,0.4835376661551959,Random,PHS4H,No Intervention
3,3580854.0,0.009736895000000094,0.25965614190600295,0.2258975725650627,Random,PHSInt,No Intervention
4,8598641.0,0.02185251,0.5827461873176503,0.5424438218532293,Random,HTrad,No Intervention
5,7852307.0,0.020252774999999938,0.5400856658503846,0.49536146693935296,Random,RSTrad,No Intervention
6,7749530.0,0.01981751000000003,0.5284783484656649,0.48887779717355984,Random,FPSTrad,No Intervention
7,9877981.0,0.026235914999999825,0.6996395122134643,0.6231507706663859,Random,CS,No Intervention
0,15823153.0,0.011242225000000113,1.0,1.0,1% Cluster,Baseline,No Intervention
1,15297173.0,0.010616850000000084,0.9443726664428063,0.9667588375085547,1% Cluster,PHS4D,No Intervention
2,10884525.0,0.009048535000000085,0.8048704771519868,0.6878859731685587,1% Cluster,PHS4H,No Intervention
3,5378035.0,0.006130160000000064,0.5452799601502374,0.33988390303752986,1% Cluster,PHSInt,No Intervention
4,11392586.0,0.009347750000000129,0.8314857601586906,0.7199946812117661,1% Cluster,HTrad,No Intervention
5,10419195.0,0.008924495000000098,0.7938370740667446,0.6584778014849506,1% Cluster,RSTrad,No Intervention
6,8533292.0,0.008306095000000093,0.7388301692947802,0.5392915053023882,1% Cluster,FPSTrad,No Intervention
7,10391260.0,0.009505875000000134,0.8455510363829258,0.6567123505662873,1% Cluster,CS,No Intervention
0,15841829.0,0.018881864999999946,1.0,1.0,10% Cluster,Baseline,No Intervention
1,15305237.0,0.017844414999999975,0.9450557452878742,0.9661281535105574,10% Cluster,PHS4D,No Intervention
2,8508971.0,0.012951395000000147,0.6859171485443935,0.5371204928420829,10% Cluster,PHS4H,No Intervention
3,3708065.0,0.0074807100000000805,0.3961849107596152,0.23406798545799226,10% Cluster,PHSInt,No Intervention
4,8675611.0,0.013429525000000157,0.7112393293776963,0.5476394802645579,10% Cluster,HTrad,No Intervention
5,8126334.0,0.012496010000000148,0.661799562702105,0.5129669055258708,10% Cluster,RSTrad,No Intervention
6,8122345.0,0.01247977500000012,0.6609397429756094,0.512715103792624,10% Cluster,FPSTrad,No Intervention
7,9724127.0,0.015102680000000044,0.7998510740332105,0.6138260298100681,10% Cluster,CS,No Intervention
0,755910.0,0.0021564300000000264,1.0,1.0,Random,Baseline,Wash Only
1,740553.0,0.0021076300000000122,0.9773700050546442,0.9796840893757194,Random,PHS4D,Wash Only
2,369150.0,0.00104047999999998,0.48250117091673145,0.48835178791125927,Random,PHS4H,Wash Only
3,188794.0,0.0005305499999999995,0.2460316356199798,0.24975724623301715,Random,PHSInt,Wash Only
4,379777.0,0.0010697599999999786,0.49607916788394035,0.5024103398552737,Random,HTrad,Wash Only
5,377440.0,0.00105260499999998,0.4881238899477224,0.4993187019618738,Random,RSTrad,Wash Only
6,714812.0,0.0020314250000000294,0.9420315057757518,0.9456310936487148,Random,FPSTrad,Wash Only
7,717699.0,0.0020791150000000237,0.9641467610819726,0.9494503313886574,Random,CS,Wash Only
0,756415.0,0.001643904999999973,1.0,1.0,1% Cluster,Baseline,Wash Only
1,727880.0,0.001600114999999974,0.9733622076701514,0.9622759992861062,1% Cluster,PHS4D,Wash Only
2,514534.0,0.0011677449999999737,0.7103482257186351,0.6802271239993919,1% Cluster,PHS4H,Wash Only
3,255680.0,0.0006073549999999955,0.36945869743081594,0.33801550736037755,1% Cluster,PHSInt,Wash Only
4,562414.0,0.0012661249999999737,0.7701935330812878,0.7435257100930045,1% Cluster,HTrad,Wash Only
5,528344.0,0.0012012399999999706,0.730723490712657,0.6984842976408453,1% Cluster,RSTrad,Wash Only
6,718744.0,0.0015690899999999581,0.95448946259059,0.9501979733347435,1% Cluster,FPSTrad,Wash Only
7,735993.0,0.0016273749999999676,0.9899446744185304,0.9730015930408572,1% Cluster,CS,Wash Only
0,765262.0,0.0019442600000000056,1.0,1.0,10% Cluster,Baseline,Wash Only
1,739791.0,0.0018819950000000015,0.9679749621964121,0.9667159743983107,10% Cluster,PHS4D,Wash Only
2,369620.0,0.0009881649999999799,0.5082473537489723,0.4829979797768607,10% Cluster,PHS4H,Wash Only
3,190398.0,0.0005118750000000013,0.263274973511773,0.24880106421068862,10% Cluster,PHSInt,Wash Only
4,440355.0,0.0011648949999999777,0.5991456903911896,0.5754303754792476,10% Cluster,HTrad,Wash Only
5,386777.0,0.001008519999999979,0.5187166325491324,0.5054177523514822,10% Cluster,RSTrad,Wash Only
6,718214.0,0.001833619999999992,0.9430940306337562,0.9385204021629193,10% Cluster,FPSTrad,Wash Only
7,723375.0,0.001874359999999995,0.9640480182691562,0.9452644976491711,10% Cluster,CS,Wash Only
