,Type,variable,value,ContS
0,None,No Intervention,0.0,Random Uniform
1,PHS4D,No Intervention,0.2313,Random Uniform
2,PHS4H,No Intervention,0.0765,Random Uniform
3,PHSInt,No Intervention,0.1506,Random Uniform
4,HS,No Intervention,0.0622,Random Uniform
5,RS,No Intervention,0.0701,Random Uniform
6,FPS,No Intervention,0.0727,Random Uniform
7,CS,No Intervention,0.0399,Random Uniform
8,None,All Intervention,0.0,Random Uniform
9,PHS4D,All Intervention,0.2956,Random Uniform
10,PHS4H,All Intervention,0.0171,Random Uniform
11,PHSInt,All Intervention,0.0428,Random Uniform
12,HS,All Intervention,0.0135,Random Uniform
13,RS,All Intervention,0.0159,Random Uniform
14,FPS,All Intervention,0.0,Random Uniform
15,CS,All Intervention,0.0,Random Uniform
16,None,Washing Only,0.0,Random Uniform
17,PHS4D,Washing Only,0.2267,Random Uniform
18,PHS4H,Washing Only,0.0758,Random Uniform
19,PHSInt,Washing Only,0.1494,Random Uniform
20,HS,Washing Only,0.0664,Random Uniform
21,RS,Washing Only,0.076,Random Uniform
22,FPS,Washing Only,0.0049,Random Uniform
23,CS,Washing Only,0.0025,Random Uniform
24,None,Prewash Only,0.0,Random Uniform
25,PHS4D,Prewash Only,0.2263,Random Uniform
26,PHS4H,Prewash Only,0.0747,Random Uniform
27,PHSInt,Prewash Only,0.1497,Random Uniform
28,HS,Prewash Only,0.0648,Random Uniform
29,RS,Prewash Only,0.0725,Random Uniform
30,FPS,Prewash Only,0.0063,Random Uniform
31,CS,Prewash Only,0.0033,Random Uniform
32,None,Holding Only,0.0,Random Uniform
33,PHS4D,Holding Only,0.293,Random Uniform
34,PHS4H,Holding Only,0.0163,Random Uniform
35,PHSInt,Holding Only,0.0438,Random Uniform
36,HS,Holding Only,0.0131,Random Uniform
37,RS,Holding Only,0.0158,Random Uniform
38,FPS,Holding Only,0.0152,Random Uniform
39,CS,Holding Only,0.0085,Random Uniform
40,None,Sanitation Only,0.0,Random Uniform
41,PHS4D,Sanitation Only,0.2276,Random Uniform
42,PHS4H,Sanitation Only,0.0727,Random Uniform
43,PHSInt,Sanitation Only,0.1488,Random Uniform
44,HS,Sanitation Only,0.063,Random Uniform
45,RS,Sanitation Only,0.0733,Random Uniform
46,FPS,Sanitation Only,0.0735,Random Uniform
47,CS,Sanitation Only,0.0427,Random Uniform
48,None,PreCooling Only,0.0,Random Uniform
49,PHS4D,PreCooling Only,0.2209,Random Uniform
50,PHS4H,PreCooling Only,0.0767,Random Uniform
51,PHSInt,PreCooling Only,0.1479,Random Uniform
52,HS,PreCooling Only,0.0621,Random Uniform
53,RS,PreCooling Only,0.073,Random Uniform
54,FPS,PreCooling Only,0.071,Random Uniform
55,CS,PreCooling Only,0.0381,Random Uniform
0,None,No Intervention,0.0,10% Cluster
1,PHS4D,No Intervention,0.2142,10% Cluster
2,PHS4H,No Intervention,0.0668,10% Cluster
3,PHSInt,No Intervention,0.1514,10% Cluster
4,HS,No Intervention,0.0592,10% Cluster
5,RS,No Intervention,0.0728,10% Cluster
6,FPS,No Intervention,0.0734,10% Cluster
7,CS,No Intervention,0.0395,10% Cluster
8,None,All Intervention,0.0,10% Cluster
9,PHS4D,All Intervention,0.2844,10% Cluster
10,PHS4H,All Intervention,0.0152,10% Cluster
11,PHSInt,All Intervention,0.047,10% Cluster
12,HS,All Intervention,0.0138,10% Cluster
13,RS,All Intervention,0.0149,10% Cluster
14,FPS,All Intervention,0.0,10% Cluster
15,CS,All Intervention,0.0,10% Cluster
16,None,Washing Only,0.0,10% Cluster
17,PHS4D,Washing Only,0.2176,10% Cluster
18,PHS4H,Washing Only,0.0753,10% Cluster
19,PHSInt,Washing Only,0.1509,10% Cluster
20,HS,Washing Only,0.0603,10% Cluster
21,RS,Washing Only,0.0721,10% Cluster
22,FPS,Washing Only,0.0049,10% Cluster
23,CS,Washing Only,0.0028,10% Cluster
24,None,Prewash Only,0.0,10% Cluster
25,PHS4D,Prewash Only,0.2174,10% Cluster
26,PHS4H,Prewash Only,0.0719,10% Cluster
27,PHSInt,Prewash Only,0.1452,10% Cluster
28,HS,Prewash Only,0.0613,10% Cluster
29,RS,Prewash Only,0.0684,10% Cluster
30,FPS,Prewash Only,0.0053,10% Cluster
31,CS,Prewash Only,0.0028,10% Cluster
32,None,Holding Only,0.0,10% Cluster
33,PHS4D,Holding Only,0.2796,10% Cluster
34,PHS4H,Holding Only,0.0153,10% Cluster
35,PHSInt,Holding Only,0.0436,10% Cluster
36,HS,Holding Only,0.0132,10% Cluster
37,RS,Holding Only,0.0169,10% Cluster
38,FPS,Holding Only,0.0146,10% Cluster
39,CS,Holding Only,0.0095,10% Cluster
40,None,Sanitation Only,0.0,10% Cluster
41,PHS4D,Sanitation Only,0.2181,10% Cluster
42,PHS4H,Sanitation Only,0.0732,10% Cluster
43,PHSInt,Sanitation Only,0.1512,10% Cluster
44,HS,Sanitation Only,0.0634,10% Cluster
45,RS,Sanitation Only,0.0738,10% Cluster
46,FPS,Sanitation Only,0.0726,10% Cluster
47,CS,Sanitation Only,0.0404,10% Cluster
48,None,PreCooling Only,0.0,10% Cluster
49,PHS4D,PreCooling Only,0.2149,10% Cluster
50,PHS4H,PreCooling Only,0.0743,10% Cluster
51,PHSInt,PreCooling Only,0.1471,10% Cluster
52,HS,PreCooling Only,0.0581,10% Cluster
53,RS,PreCooling Only,0.0694,10% Cluster
54,FPS,PreCooling Only,0.0684,10% Cluster
55,CS,PreCooling Only,0.0354,10% Cluster
0,None,No Intervention,0.0,1% Cluster
