,Final_CFU_Acc_Portion_mean,Prevalence_Acc_Mean,Prevalence_Comparison,MeanComparison,Cont_Spread,Sampling_Plan,Baseline_Scenario
0,5802.0,2.0069999999999698e-05,1.0,1.0,Random Uniform Unclustered,Baseline,All Intervention
1,4798.0,1.6624999999999777e-05,0.828350772296962,0.8269562219924164,Random Uniform Unclustered,PHS4D,All Intervention
2,5135.0,1.817999999999973e-05,0.9058295964125563,0.88503964150293,Random Uniform Unclustered,PHS4H,All Intervention
3,4258.0,1.4619999999999789e-05,0.7284504235176885,0.7338848672871424,Random Uniform Unclustered,PHSInt,All Intervention
4,5383.0,1.8504999999999725e-05,0.9220229197807676,0.9277835229231299,Random Uniform Unclustered,HTrad,All Intervention
5,5247.0,1.812999999999973e-05,0.9033383158943699,0.9043433298862461,Random Uniform Unclustered,RSTrad,All Intervention
6,5826.0,2.01149999999997e-05,1.0022421524663678,1.0041365046535677,Random Uniform Unclustered,FPSTrad,All Intervention
7,5804.0,2.0024999999999697e-05,0.9977578475336323,1.0003447087211306,Random Uniform Unclustered,CS,All Intervention
0,5757.0,1.997999999999966e-05,1.0,1.0,1% Cluster,Baseline,All Intervention
1,4914.0,1.7274999999999756e-05,0.8646146146146171,0.8535695674830641,1% Cluster,PHS4D,All Intervention
2,5264.0,1.8089999999999693e-05,0.9054054054054055,0.9143651207225986,1% Cluster,PHS4H,All Intervention
3,4361.0,1.4899999999999795e-05,0.7457457457457481,0.7575125933645996,1% Cluster,PHSInt,All Intervention
4,5356.0,1.87799999999997e-05,0.9399399399399411,0.9303456661455619,1% Cluster,HTrad,All Intervention
5,5196.0,1.777999999999971e-05,0.8898898898898906,0.9025534132360604,1% Cluster,RSTrad,All Intervention
6,5775.0,2.005499999999969e-05,1.0037537537537553,1.0031266284523188,1% Cluster,FPSTrad,All Intervention
7,5759.0,1.992999999999963e-05,0.997497497497496,1.0003474031613688,1% Cluster,CS,All Intervention
0,6143.0,2.113499999999966e-05,1.0,1.0,10% Cluster,Baseline,All Intervention
1,4773.0,1.6589999999999823e-05,0.7849538679914875,0.7769819306527755,10% Cluster,PHS4D,All Intervention
2,5616.0,1.9169999999999706e-05,0.9070262597586948,0.914211297411688,10% Cluster,PHS4H,All Intervention
3,4542.0,1.5349999999999797e-05,0.7262834161343763,0.7393781539964187,10% Cluster,PHSInt,All Intervention
4,5680.0,1.973499999999967e-05,0.933759167258102,0.924629659775354,10% Cluster,HTrad,All Intervention
5,5340.0,1.8849999999999716e-05,0.8918854979891184,0.8692821097183786,10% Cluster,RSTrad,All Intervention
6,6057.0,2.0959999999999657e-05,0.9917198959072625,0.9860003255738239,10% Cluster,FPSTrad,All Intervention
7,6209.0,2.1594999999999694e-05,1.0217648450437682,1.0107439361875306,10% Cluster,CS,All Intervention
0,15474923.0,0.03649433499999988,1.0,1.0,Random Uniform Unclustered,Baseline,No Intervention
1,14679401.0,0.03502510499999978,0.9597408748508472,0.9485928298318512,Random Uniform Unclustered,PHS4D,No Intervention
2,7162502.0,0.01874530999999993,0.5136498582588227,0.4628457278915055,Random Uniform Unclustered,PHS4H,No Intervention
3,3614542.0,0.009811195000000146,0.2688415887013746,0.23357415090207556,Random Uniform Unclustered,PHSInt,No Intervention
4,7999065.0,0.02084127499999996,0.5710824707451179,0.516904995262335,Random Uniform Unclustered,HTrad,No Intervention
5,7396794.0,0.019295534999999954,0.5287268558257061,0.47798583553533674,Random Uniform Unclustered,RSTrad,No Intervention
6,7147289.0,0.01898864499999999,0.5203176054584925,0.4618626535330741,Random Uniform Unclustered,FPSTrad,No Intervention
7,9551045.0,0.025644639999999906,0.7027019399038232,0.617194993474281,Random Uniform Unclustered,CS,No Intervention
0,15571633.0,0.011007535000000115,1.0,1.0,1% Cluster,Baseline,No Intervention
1,15118971.0,0.010462405000000116,0.9504766507669524,0.9709303449419852,1% Cluster,PHS4D,No Intervention
2,11054119.0,0.008879260000000142,0.8066528973108011,0.7098882307334112,1% Cluster,PHS4H,No Intervention
3,4931492.0,0.006020715000000076,0.5469630575782873,0.3166971633610939,1% Cluster,PHSInt,No Intervention
4,10903805.0,0.009166685000000117,0.8327645562789509,0.7002351648025612,1% Cluster,HTrad,No Intervention
5,11180254.0,0.009033470000000158,0.8206623917162256,0.7179885372330571,1% Cluster,RSTrad,No Intervention
6,8266344.0,0.008275020000000098,0.7517595901353038,0.5308591590875537,1% Cluster,FPSTrad,No Intervention
7,10565098.0,0.009419940000000106,0.8557719780132435,0.6784836246782852,1% Cluster,CS,No Intervention
0,15495257.0,0.018477029999999915,1.0,1.0,10% Cluster,Baseline,No Intervention
1,15091965.0,0.01757408499999997,0.9511314859585144,0.9739731970886317,10% Cluster,PHS4D,No Intervention
2,7630794.0,0.01207846000000014,0.6537013794966071,0.49245998307740235,10% Cluster,PHS4H,No Intervention
3,3752442.0,0.00778636500000012,0.42140782365997975,0.24216713540149737,10% Cluster,PHSInt,No Intervention
4,8254350.0,0.013134370000000149,0.7108485508764238,0.5327017164026385,10% Cluster,HTrad,No Intervention
5,7844791.0,0.0124315200000001,0.6728094287880767,0.5062704671500446,10% Cluster,RSTrad,No Intervention
6,7553763.0,0.012250300000000165,0.6630015754696627,0.487488719935397,10% Cluster,FPSTrad,No Intervention
7,9936448.0,0.015051525000000121,0.8146073800821988,0.641257386050454,10% Cluster,CS,No Intervention
0,113535.0,0.00039702000000000427,1.0,1.0,Random Uniform Unclustered,Baseline,No Washing
1,100767.0,0.0003526950000000045,0.888355750340035,0.8875412868278505,Random Uniform Unclustered,PHS4D,No Washing
2,101862.0,0.00035672500000000527,0.8985063724749419,0.8971858898137138,Random Uniform Unclustered,PHS4H,No Washing
3,85119.0,0.00029563000000000506,0.744622437156823,0.749715946624389,Random Uniform Unclustered,PHSInt,No Washing
4,102419.0,0.0003572250000000044,0.8997657548738113,0.9020918659444225,Random Uniform Unclustered,HTrad,No Washing
5,101191.0,0.0003531200000000045,0.8894262253790759,0.8912758180296825,Random Uniform Unclustered,RSTrad,No Washing
6,112461.0,0.0003932750000000045,0.9905672258324525,0.9905403620029066,Random Uniform Unclustered,FPSTrad,No Washing
7,112756.0,0.00039469000000000445,0.9941312780212589,0.9931386797022944,Random Uniform Unclustered,CS,No Washing
0,120943.0,0.0004040900000000041,1.0,1.0,1% Cluster,Baseline,No Washing
1,108978.0,0.00036274500000000475,0.8976836843277515,0.9010690986663139,1% Cluster,PHS4D,No Washing
