,Type,variable,value,ContS
0,None,No Intervention,0.0,Random Uniform Unclustered
1,PHS4D,No Intervention,0.2244,Random Uniform Unclustered
2,PHS4H,No Intervention,0.0759,Random Uniform Unclustered
3,PHSInt,No Intervention,0.1473,Random Uniform Unclustered
4,HS,No Intervention,0.0643,Random Uniform Unclustered
5,RS,No Intervention,0.0701,Random Uniform Unclustered
6,FPS,No Intervention,0.0725,Random Uniform Unclustered
7,CS,No Intervention,0.0385,Random Uniform Unclustered
8,None,All Intervention,0.0,Random Uniform Unclustered
9,PHS4D,All Intervention,0.291,Random Uniform Unclustered
10,PHS4H,All Intervention,0.013,Random Uniform Unclustered
11,PHSInt,All Intervention,0.0448,Random Uniform Unclustered
12,HS,All Intervention,0.0124,Random Uniform Unclustered
13,RS,All Intervention,0.0144,Random Uniform Unclustered
14,FPS,All Intervention,0.0,Random Uniform Unclustered
15,CS,All Intervention,0.0,Random Uniform Unclustered
16,None,No Washing,0.0,Random Uniform Unclustered
17,PHS4D,No Washing,0.2963,Random Uniform Unclustered
18,PHS4H,No Washing,0.0158,Random Uniform Unclustered
19,PHSInt,No Washing,0.0409,Random Uniform Unclustered
20,HS,No Washing,0.0133,Random Uniform Unclustered
21,RS,No Washing,0.0151,Random Uniform Unclustered
22,FPS,No Washing,0.0008,Random Uniform Unclustered
23,CS,No Washing,0.0007,Random Uniform Unclustered
24,None,No Prewash,0.0,Random Uniform Unclustered
25,PHS4D,No Prewash,0.2921,Random Uniform Unclustered
26,PHS4H,No Prewash,0.0149,Random Uniform Unclustered
27,PHSInt,No Prewash,0.0461,Random Uniform Unclustered
28,HS,No Prewash,0.0141,Random Uniform Unclustered
29,RS,No Prewash,0.0141,Random Uniform Unclustered
30,FPS,No Prewash,0.0009,Random Uniform Unclustered
31,CS,No Prewash,0.0005,Random Uniform Unclustered
32,None,No Holding,0.0,Random Uniform Unclustered
33,PHS4D,No Holding,0.2306,Random Uniform Unclustered
34,PHS4H,No Holding,0.0746,Random Uniform Unclustered
35,PHSInt,No Holding,0.1504,Random Uniform Unclustered
36,HS,No Holding,0.0613,Random Uniform Unclustered
37,RS,No Holding,0.0699,Random Uniform Unclustered
38,FPS,No Holding,0.0001,Random Uniform Unclustered
39,CS,No Holding,0.0003,Random Uniform Unclustered
40,None,No Sanitation,0.0,Random Uniform Unclustered
41,PHS4D,No Sanitation,0.2919,Random Uniform Unclustered
42,PHS4H,No Sanitation,0.0157,Random Uniform Unclustered
43,PHSInt,No Sanitation,0.0486,Random Uniform Unclustered
44,HS,No Sanitation,0.0143,Random Uniform Unclustered
45,RS,No Sanitation,0.0173,Random Uniform Unclustered
46,FPS,No Sanitation,0.0,Random Uniform Unclustered
47,CS,No Sanitation,0.0001,Random Uniform Unclustered
48,None,No Precooling,0.0,Random Uniform Unclustered
49,PHS4D,No Precooling,0.2885,Random Uniform Unclustered
